query_id;Q0;doc_id;rank;score;standard;relevance
1;Q0;DOC-00722;1;26,750293;BM25;1
1;Q0;DOC-00017;2;23,867569;BM25;0
1;Q0;DOC-00429;3;23,381095;BM25;1
1;Q0;DOC-00759;4;22,433986;BM25;0
1;Q0;DOC-01299;5;22,419136;BM25;0
1;Q0;DOC-01281;6;21,749376;BM25;1
1;Q0;DOC-00076;7;21,514617;BM25;1
1;Q0;DOC-00028;8;21,233062;BM25;1
1;Q0;DOC-01118;9;20,981978;BM25;0
1;Q0;DOC-01055;10;20,53892;BM25;0
1;Q0;DOC-00934;11;20,473955;BM25;0
1;Q0;DOC-01054;12;20,374786;BM25;0
1;Q0;DOC-00589;13;20,022071;BM25;1
1;Q0;DOC-00065;14;20,010673;BM25;1
1;Q0;DOC-01195;15;19,861867;BM25;1
1;Q0;DOC-01090;16;19,296029;BM25;0
1;Q0;DOC-00813;17;18,995769;BM25;1
1;Q0;DOC-01265;18;18,747842;BM25;0
1;Q0;DOC-01091;19;18,390848;BM25;0
1;Q0;DOC-00212;20;18,248257;BM25;0
1;Q0;DOC-01079;21;18,246205;BM25;0
1;Q0;DOC-00676;22;18,085467;BM25;0
1;Q0;DOC-00195;23;17,895742;BM25;1
1;Q0;DOC-00510;24;17,879305;BM25;1
1;Q0;DOC-00413;25;17,779;BM25;0
1;Q0;DOC-00790;26;17,451398;BM25;0
1;Q0;DOC-01387;27;17,398176;BM25;0
1;Q0;DOC-00354;28;17,202988;BM25;0
1;Q0;DOC-00911;29;17,159222;BM25;0
1;Q0;DOC-01030;30;17,007258;BM25;0
1;Q0;DOC-00831;31;16,989349;BM25;0
1;Q0;DOC-01019;32;16,864688;BM25;0
1;Q0;DOC-00820;33;16,705707;BM25;1
1;Q0;DOC-00483;34;16,605143;BM25;1
1;Q0;DOC-00476;35;16,540188;BM25;0
1;Q0;DOC-00767;36;16,416783;BM25;0
1;Q0;DOC-00219;37;16,322094;BM25;0
1;Q0;DOC-00650;38;16,130382;BM25;1
1;Q0;DOC-00447;39;16,124587;BM25;0
1;Q0;DOC-00204;40;16,103906;BM25;0
1;Q0;DOC-00359;41;15,964595;BM25;0
1;Q0;DOC-00477;42;15,956965;BM25;0
1;Q0;DOC-00084;43;15,948068;BM25;0
1;Q0;DOC-01402;44;15,771534;BM25;0
1;Q0;DOC-01286;45;15,69654;BM25;0
1;Q0;DOC-00398;46;15,637191;BM25;0
1;Q0;DOC-01369;47;15,505823;BM25;0
1;Q0;DOC-00952;48;15,428108;BM25;0
1;Q0;DOC-00024;49;15,251376;BM25;0
1;Q0;DOC-01248;50;15,174388;BM25;0
1;Q0;DOC-00582;51;15,133108;BM25;1
1;Q0;DOC-00210;52;15,123389;BM25;0
1;Q0;DOC-00201;53;15,119205;BM25;0
1;Q0;DOC-00236;54;15,02225;BM25;0
1;Q0;DOC-01358;55;14,953188;BM25;0
1;Q0;DOC-01124;56;14,810556;BM25;0
1;Q0;DOC-00445;57;14,725122;BM25;0
1;Q0;DOC-00308;58;14,715005;BM25;0
1;Q0;DOC-00335;59;14,691965;BM25;0
1;Q0;DOC-00816;60;14,669884;BM25;0
1;Q0;DOC-00828;61;14,587948;BM25;0
1;Q0;DOC-00487;62;14,464767;BM25;0
1;Q0;DOC-00888;63;14,425348;BM25;0
1;Q0;DOC-00907;64;14,420021;BM25;0
1;Q0;DOC-00364;65;14,287187;BM25;0
1;Q0;DOC-00726;66;14,243384;BM25;1
1;Q0;DOC-00150;67;14,148071;BM25;1
1;Q0;DOC-01443;68;14,11863;BM25;0
1;Q0;DOC-01323;69;14,116637;BM25;0
1;Q0;DOC-01214;70;13,974787;BM25;0
1;Q0;DOC-01082;71;13,971339;BM25;0
1;Q0;DOC-00928;72;13,874249;BM25;0
1;Q0;DOC-00811;73;13,834179;BM25;0
1;Q0;DOC-00958;74;13,801462;BM25;0
